id,created_at,updated_at,deleted_at,user_id,book,correct,page_nr
1,"2019-11-14 12:31:03","2019-11-14 12:31:03",NULL,1,war_and_peace,0,0
2,"2019-11-14 12:31:30","2019-11-14 12:31:30",NULL,1,war_and_peace,1,1
3,"2019-11-14 12:31:38","2019-11-14 12:31:38",NULL,1,war_and_peace,1,2
4,"2019-11-14 12:32:06","2019-11-14 12:32:06",NULL,1,war_and_peace,1,3
5,"2019-11-14 12:32:11","2019-11-14 12:32:11",NULL,1,war_and_peace,0,4
6,"2019-11-14 12:35:16","2019-11-14 12:35:16",NULL,1,war_and_peace,1,5
7,"2019-11-14 12:35:45","2019-11-14 12:35:45",NULL,1,war_and_peace,1,6
8,"2019-11-14 12:36:17","2019-11-14 12:36:17",NULL,1,war_and_peace,1,7
9,"2019-11-14 12:57:54","2019-11-14 12:57:54",NULL,2,war_and_peace,0,0
10,"2019-11-14 12:57:59","2019-11-14 12:57:59",NULL,2,war_and_peace,0,1
11,"2019-11-14 12:58:02","2019-11-14 12:58:02",NULL,2,war_and_peace,0,2
12,"2019-11-14 13:00:25","2019-11-14 13:00:25",NULL,2,war_and_peace,1,3
13,"2019-11-14 13:00:44","2019-11-14 13:00:44",NULL,2,war_and_peace,1,4
14,"2019-11-14 13:00:54","2019-11-14 13:00:54",NULL,2,war_and_peace,1,5
15,"2019-11-14 13:00:57","2019-11-14 13:00:57",NULL,2,war_and_peace,0,6
16,"2019-11-14 13:01:00","2019-11-14 13:01:00",NULL,2,war_and_peace,0,7
17,"2019-11-14 13:11:11","2019-11-14 13:11:11",NULL,3,war_and_peace,0,0
18,"2019-11-14 13:11:30","2019-11-14 13:11:30",NULL,3,war_and_peace,1,1
19,"2019-11-14 13:11:33","2019-11-14 13:11:33",NULL,3,war_and_peace,1,2
20,"2019-11-14 13:11:35","2019-11-14 13:11:35",NULL,3,war_and_peace,0,3
21,"2019-11-14 13:11:40","2019-11-14 13:11:40",NULL,3,war_and_peace,1,4
22,"2019-11-14 13:11:42","2019-11-14 13:11:42",NULL,3,war_and_peace,0,5
23,"2019-11-14 13:11:49","2019-11-14 13:11:49",NULL,3,war_and_peace,1,6
24,"2019-11-14 13:11:52","2019-11-14 13:11:52",NULL,3,war_and_peace,0,7
25,"2019-11-15 16:08:05","2019-11-15 16:08:05",NULL,4,war_and_peace,1,0
26,"2019-11-15 16:10:03","2019-11-15 16:10:03",NULL,4,war_and_peace,0,1
27,"2019-11-15 16:10:45","2019-11-15 16:10:45",NULL,4,war_and_peace,1,2
28,"2019-11-15 16:12:37","2019-11-15 16:12:37",NULL,4,war_and_peace,0,3
29,"2019-11-15 16:13:12","2019-11-15 16:13:12",NULL,4,war_and_peace,1,4
30,"2019-11-15 16:13:58","2019-11-15 16:13:58",NULL,4,war_and_peace,1,5
31,"2019-11-15 16:14:53","2019-11-15 16:14:53",NULL,4,war_and_peace,0,6
32,"2019-11-15 16:15:53","2019-11-15 16:15:53",NULL,4,war_and_peace,1,7
33,"2019-11-18 12:26:02","2019-11-18 12:26:02",NULL,5,war_and_peace,1,0
34,"2019-11-18 13:56:29","2019-11-18 13:56:29",NULL,5,war_and_peace,0,1
35,"2019-11-18 13:59:20","2019-11-18 13:59:20",NULL,5,war_and_peace,0,2
